Query;run1;run2;run3;run4;run5;run6;avg;numResults;minRes;maxRes;
lifescience-domain_1;263;56;58;56;55;47;90;1159;1159;1159;
lifescience-domain_2;463;204;183;183;193;184;236;333;333;333;
lifescience-domain_3;27322;24527;24165;24162;23777;25709;24944;9054;9054;9054;
lifescience-domain_4;250;71;69;63;71;76;101;3;3;3;
lifescience-domain_5;294519;294854;294690;295007;295376;295806;295043;16120000;16120000;16120000;
lifescience-domain_6;20198;19700;19729;19643;19591;19685;19758;1120000;1120000;1120000;
lifescience-domain_7;18473;18413;18428;18411;19545;18375;18608;0;0;0;
