Query;run1;run2;run3;run4;run5;run6;avg;numResults;minRes;maxRes;
lifescience-domain_1;371;83;73;69;76;76;125;1159;1159;1159;
lifescience-domain_2;609;42;29;42;43;36;134;333;333;333;
lifescience-domain_3;3676;3837;3520;3494;3530;3517;3596;9054;9054;9054;
lifescience-domain_4;193;160;92;94;87;107;123;3;3;3;
lifescience-domain_5;1331;1274;1244;1237;1213;1232;1256;393;393;393;
lifescience-domain_6;157;125;116;104;104;112;120;28;28;28;
lifescience-domain_7;1470;1365;1330;1646;1357;1335;1418;0;0;0;
