Query;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;avg;numResults;minRes;maxRes;
cross-domain_1;4873;1346;1199;1196;1188;1202;1192;1181;1162;1166;1571;90;90;90;
cross-domain_2;342;16;12;9;18;9;8;7;7;10;44;1;1;1;
cross-domain_3;4698;43;23;24;33;26;29;29;24;22;496;2;2;2;
cross-domain_4;1038;306;208;211;207;190;245;184;187;186;297;1;1;1;
cross-domain_5;1487;140;132;157;126;126;126;159;124;117;270;2;2;2;
cross-domain_6;4067;1006;909;820;907;1015;768;836;914;858;1211;11;11;11;
cross-domain_7;2773;744;704;756;681;674;649;631;667;660;894;2;2;2;
