Query;run1;run2;run3;run4;run5;run6;avg;numResults;minRes;maxRes;
lifescience-domain_1;1604;78;228;81;332;258;431;1159;1159;1159;
lifescience-domain_2;916;379;238;150;320;349;393;333;333;333;
lifescience-domain_3;3454;3053;3109;3351;4228;3734;3489;9054;9054;9054;
lifescience-domain_4;144;131;89;106;266;185;154;3;3;3;
lifescience-domain_5;810;724;709;759;1313;1483;967;393;393;393;
lifescience-domain_6;68;54;54;59;89;50;63;28;28;28;
lifescience-domain_7;1354;1284;1283;1679;1895;1704;1534;0;0;0;
