Query;run1;run2;run3;run4;run5;run6;avg;numResults;minRes;maxRes;
lifescience-domain_1;228;71;83;72;73;81;102;1159;1159;1159;
lifescience-domain_2;620;57;43;48;48;49;145;333;333;333;
lifescience-domain_3;3115;2950;3236;2894;3242;3191;3105;9054;9054;9054;
lifescience-domain_4;134;93;81;81;99;76;95;3;3;3;
lifescience-domain_5;1246;1218;1218;1245;1197;1236;1227;393;393;393;
lifescience-domain_6;130;127;106;135;192;116;135;28;28;28;
lifescience-domain_7;1353;1402;1335;1342;1338;1332;1351;0;0;0;
